Matrix 1 (./sample_input_for_students/easy_sample_01_1.txt):
12 701 638
12 2361 -700
12 444 -916
12 454 -727
12 979 693
12 429 -792
12 345 -755
12 212 -711
12 850 458
12 1129 -973
12 644 -954
12 2856 -826
12 115 848
13 65 -697
13 1496 480
13 1999 -838
13 509 -552
13 383 -165
13 670 -606
13 2598 -517
13 2798 -708
13 273 396
13 3021 369
13 333 635
13 1469 -664
13 2312 -964
13 1375 476
13 301 -422
13 1857 523
13 1486 98
13 73 -923
13 1255 912
13 1917 986
13 438 -849
13 1366 -743
13 50 606
13 2634 -665
13 2131 158
13 1229 -514
13 379 240
13 253 -62
13 2346 -1012
13 896 -750
13 1416 840
13 332 -1023
13 1357 -635
13 506 -712
13 778 -377
13 3177 -1005
13 853 -714
13 798 -989
13 698 -649
13 1601 -716
13 639 -997
13 2897 575
13 869 -553
13 1007 -694
13 171 -363
13 35 -576
13 1065 -679
13 771 297
13 2436 -959
13 1923 930
13 284 -725
13 1977 961
13 164 -750
13 2841 -548
13 2263 -671
13 1019 -879
13 866 386
13 1308 -889
13 1237 -882
13 2948 -732
13 1373 -868
13 2514 -59
13 426 -817
13 972 -820
13 129 -650
13 2390 -758
13 309 -364
13 1531 -1022
13 677 -804
13 1880 -110
14 1097 -325
14 1369 -911
14 1054 632
14 523 -311
14 2646 -680
14 180 -514
14 1251 -698
14 999 -92
14 3019 -459
14 340 949
14 937 -76
14 1206 613
14 1090 -245
14 2020 -96
14 2627 -906
14 1341 -971
14 1079 215
14 1237 243
14 1204 944
14 1588 -505
14 2611 70
14 2233 -593
14 1321 -667
14 2600 -833
14 1893 33
14 594 665
14 2323 -919
14 624 -239
14 92 -757
14 1577 227
14 106 -986
14 2988 -841
14 769 -843
14 1240 -630
14 1306 -273
14 725 -858
14 2218 950
14 1873 -526
14 1050 162
14 3155 697
14 610 -583
14 2110 378
14 386 -784
14 781 -764
14 900 -530
14 1431 553
14 1350 -830
14 853 -808
14 309 -249
14 905 -778
14 3153 -882
14 269 -834
14 702 -786
14 1475 979
14 2565 -964
14 481 368
14 3003 -127
14 39 -979
14 1133 -715
14 1752 302
14 292 -1018
14 723 -857
14 1144 -703
14 1513 -840
14 1518 -926
14 868 -750
14 236 -994
15 2295 196
15 691 425
16 972 -696
16 1460 -558
16 126 -512
16 1424 -514
16 433 415
16 654 -669
16 1664 -280
16 199 -602
16 2056 194
16 1308 -751
16 207 -958
16 313 -115
16 439 -846
16 872 -807
16 2305 -609
16 260 882
16 253 -578
16 1204 311
16 765 -770
16 1377 -605
16 993 -834
16 1368 483
16 1111 -269
16 773 -531
16 731 -531
16 1498 165
16 1147 -809
16 1486 -727
16 1479 -677
16 980 -1015
16 88 -902
16 2479 -910
16 69 -906
16 288 -35
16 634 -560
16 1560 -812
16 3030 678
16 966 -314
16 2419 -888
16 463 -788
16 539 578
16 423 -887
16 1072 -974
16 14 765
16 1670 -827
16 338 -868
16 893 -621
16 281 -322
16 696 -831
16 850 -900
16 897 -521
16 1284 839
16 1301 -1013
16 3164 -880
16 1545 -905
16 846 965
16 1540 -219
16 414 -79
16 753 159
16 948 -591
16 132 -771
16 2925 -773
16 1824 -647
16 1052 923
16 1566 149
16 1243 -798
16 759 389
16 1138 483
16 1436 -303
16 1462 -618
16 214 -343
16 1418 43
16 3 -809
16 2114 -360
16 1811 861
16 1207 -700
16 365 -854
16 102 49
16 934 -1004
16 1477 -850
16 755 -641
16 49 985
16 795 -890
16 1046 -436
16 2873 864
16 611 331
16 2979 -1000
16 494 -544
16 1209 -782
16 1494 269
16 2046 -874
16 300 -444
16 864 -429
16 103 135
16 320 -319
16 2331 -993
16 640 -224
16 2872 821
16 744 -973
16 551 869
16 2381 -635
16 997 -1
16 255 -640
16 862 -947
16 1527 -547
16 1022 -691
16 549 -690
16 1561 459
16 1292 -530
16 955 -967
17 2922 -875
17 208 -771
17 1689 -633
17 1424 -505
17 757 -823
17 2216 486
17 629 -939
17 654 -223
17 185 -997
17 684 -534
17 1343 -869
17 1302 -613
17 2524 966
17 15 -858
17 973 -932
17 1105 -460
17 1348 -982
17 178 -891
17 3036 -894
17 926 -269
17 811 -831
17 1082 -846
18 1192 -264
18 976 -644
18 1084 -845
18 1392 -639
18 1508 -854
18 488 -997
18 348 -51
18 1406 309
18 1156 471
18 106 986
18 2356 -627
18 1944 -958
18 56 -638
18 652 -716
18 1578 -948
18 640 545
18 1201 -818
18 7 -809
18 59 -907
18 828 -607
18 692 -460
18 343 -438
18 1470 176
18 1455 -240
18 1745 -487
18 1206 1005
18 1990 528
18 1262 -631
18 1489 767
19 1465 -536
19 709 -975
19 512 -533
19 1789 996
19 2233 -15
19 2632 950
19 2198 405
19 1561 927
19 1429 219
19 2745 -945
19 1485 -673
19 1354 -589
19 1356 -673
19 1348 313
19 1408 -805
19 2249 -517
19 1206 997
19 543 -650
19 1541 -745
19 488 -747
19 463 -650
19 1101 -840
19 301 -802
19 849 927
19 684 -891
19 320 -117
19 1569 -642
19 1258 -875
19 1547 -788
19 487 -295
19 579 686
19 1882 -537
19 544 -583
19 2608 1012
19 1296 -888
19 2258 -834
19 1542 -955
19 747 614
19 949 -809
19 629 -1007
19 2698 -109
19 1507 -435
19 689 114
19 441 749
19 539 -546
19 340 -890
19 76 -995
19 1410 868
19 917 -68
19 1359 -762
19 1351 -529
19 2368 -965
19 838 -886
19 1481 -100
19 892 -969
19 2304 645
19 1482 -844
19 246 -1000
19 1314 439
19 1780 -507
19 2216 825
19 41 -824
19 3090 353
19 965 -612
19 1259 1012
19 2713 -809
19 405 -902
19 88 -823
19 1355 87
19 3133 -703
19 1386 -639
19 1626 -908
19 771 -610
19 144 -1001
19 915 789
19 1841 -995
19 1563 -686
19 2946 -720
19 1321 -703
19 1147 352
19 611 -1004
19 2517 -721
19 823 -172
19 2162 -729
19 2967 264
19 1685 -872
19 1688 736
19 799 -586
19 1098 -906
19 1413 -695
19 1998 -743
19 1753 -764
19 635 -785
19 1080 -860
19 2923 -710
19 1054 -667
19 2323 -540
19 2575 200
19 943 -760
19 2678 1003
19 149 -536
19 1042 -550
19 818 -478
19 3118 -563
19 1402 -566
19 722 -753
19 302 -670
19 1368 -805
19 623 -531
19 74 -721
19 867 -999
19 3108 419
19 1300 -860
19 46 -831
19 1787 -610
19 1439 -809
19 368 796
19 990 -992
19 181 -704
19 1113 -614
19 78 -975
19 880 372
19 503 891
19 402 -1014
19 2252 949
19 531 -729
19 1574 565
19 674 -932
19 956 -641
19 2611 -654
19 927 -667
19 1151 -704
19 90 474
19 1484 -524
19 434 240
19 234 -598
19 2878 -682
19 1483 -938
19 940 -822
19 3068 -471
19 366 -994
19 1587 598
19 440 511
19 913 -366
19 1545 630
19 2088 654
19 1433 -821
19 72 747
19 107 -962
19 1582 770
19 1937 -770
19 1328 598
19 1289 -884
19 646 -909
19 3136 -999
19 1271 599
19 2558 799
19 793 286
19 962 -714
19 1530 -961
19 169 -794
19 593 870
19 601 -963
19 1362 -676
19 279 -822
19 213 -715
19 790 -954
19 1385 -770
19 1422 -427
19 415 -336
19 1516 688
19 1508 -968
19 1148 -742
19 1068 -321
20 942 -998
20 1535 -735
20 1331 639
20 817 -908
20 328 -870
20 2174 -569
20 1096 -825
20 98 -769
20 204 568
20 1884 -795
20 1149 -790
20 1239 -534
20 1080 -610
20 532 -961
20 1316 912
20 2016 -281
20 1229 -296
20 2185 -538
20 46 -658
20 664 -649
20 644 230
20 2405 -103
20 1196 -516
20 2145 -257
20 909 -92
20 889 -543
20 259 -617
20 1779 101
20 1108 -517
20 960 -887
20 1076 -796
20 336 -150
20 2191 561
20 555 -519
20 2359 -931
20 1905 -726
20 2088 -700
20 244 -917
20 2512 -530
20 1473 328
20 215 -744
20 1811 -884
20 1772 -899
20 3143 -969
20 1258 -910
20 1939 -967
20 396 -534
20 2613 -71
20 70 -752
20 752 220
20 34 -878
20 952 -87
20 297 -1021
20 381 -540
20 706 -713
20 1110 904
20 574 -689
20 970 -1022
21 1066 934
21 388 -950
21 473 -424
21 407 -749
21 588 -612
21 1698 -596
21 3029 -900
21 227 739
21 77 273
21 1270 -756
21 505 -939
21 196 -610
21 618 -113
21 1443 -810
21 683 -673
22 660 -309
22 537 -265
22 3090 -716
22 224 -273
22 575 -584
22 1782 -975
22 3154 -965
22 1239 -545
22 2597 -776
22 401 345
22 197 -752
22 1290 -823
22 2046 469
22 2609 -782
22 422 -542
23 1373 -915
23 1160 -813
23 1382 -835
23 1939 354
23 930 -881
23 766 -972
23 1259 -770
23 2671 -688
23 1871 -829
23 2776 -184
23 2495 -794
23 818 -715
23 1359 -844
23 2780 624
23 1303 -230
23 375 914
23 240 -932
23 1439 -657
23 50 -36
23 455 -567
23 2410 959
23 2727 -857
23 1433 -708
23 3096 -741
23 761 -766
23 468 -709
23 129 -546
23 2084 -568
23 2635 -463
23 1402 -913
23 2712 -654
23 443 -750
23 2013 -800
23 1478 558
23 1378 -982
23 2714 -232
23 990 -930
23 1021 30
23 1695 355
23 161 -722
23 2614 -519
23 139 -390
23 117 -680
23 1238 62
23 1496 -553
23 307 -993
23 811 -1015
23 909 -983
23 2300 -697
23 973 -278
23 718 -1019
23 2243 61
23 1237 764
23 2595 -785
23 971 -513
23 2678 -596
23 367 -692
23 2468 -731
23 499 -490
23 268 -709
23 1422 -577
23 1125 406
23 590 -988
23 1189 269
23 1547 -539
23 340 -985
23 1267 -786
23 2095 -706
23 330 987
23 1098 -1019
23 787 -879
23 3081 453
23 349 -35
23 726 -632
23 1545 -642
23 619 -106
23 479 765
23 2110 15
24 755 -805
24 3040 -885
24 1422 287
24 1311 -620
24 827 -672
24 555 -862
24 211 -490
24 2128 -263
24 975 -881
24 1481 -734
24 1415 -623
24 169 497
24 1072 -935
24 537 -615
24 414 -822
24 1008 -566
24 175 209
24 2064 117
24 1170 637
24 2619 742
24 1307 119
24 129 225
24 268 -313
24 216 -609
24 1781 -573
24 1644 587
24 2367 713
24 1018 -964
24 50 -605
24 2838 -292
24 332 -724
24 1357 -803
24 2521 -1010
24 3046 -762
24 3027 -745
24 1376 106
24 2193 -792
24 61 -725
24 122 566
24 121 -874
24 969 1005
24 2299 948
24 432 899
24 1533 -927
24 362 -520
24 2776 -549
24 658 -739
24 450 -672
24 843 342
24 1608 -771
24 569 -206
24 424 -904
24 481 -630
24 1032 -541
24 717 -583
24 187 -626
24 1334 -113
24 206 -844
24 3074 -835
24 436 692
24 2738 -477
24 680 765
24 3056 -716
24 1371 851
24 2354 -553
24 1179 -278
24 1011 -414
24 638 -593
24 1840 -701
24 2518 182
24 2396 -738
24 3011 -765
24 1641 -473
24 977 -1012
24 1148 -745
24 1480 -820
24 1199 -268
24 93 -923
24 907 -842
24 313 -131
24 309 -737
24 145 915
24 1207 -762
24 161 -964
24 814 -808
24 3020 -1005
24 696 -1015
24 1398 -695
24 2735 -915
24 611 -784
24 1470 -290
24 2781 -124
24 419 -750
24 1024 -744
24 83 -650
25 1516 -781
25 945 -539
25 416 672
25 301 -928
25 690 -1004
25 90 -1004
25 96 948
25 1645 -930
25 1042 -700
25 972 -1017
25 242 -834
25 423 -970
25 626 556
25 530 -629
25 1242 -715
25 2749 730
25 295 932
25 1861 417
25 180 287
25 2294 480
25 1117 -632
25 974 -774
25 1081 -854
25 1572 62
25 1208 231
25 167 -541
25 886 -180
25 606 -938
25 82 -650
25 196 318
25 836 -955
25 1340 729
25 1285 -769
25 1668 -1022
25 228 738
25 327 -570
25 1634 -563
25 506 -541
25 546 989
25 676 588
26 454 -563
26 838 -689
26 110 -937
26 650 -771
26 309 -1007
26 2722 -756
26 839 727
26 406 -387
26 231 -32
26 381 -982
26 824 -359
26 1477 123
26 291 -569
26 270 1004
26 196 -554
26 414 -752
26 1126 604
26 2521 381
26 1525 755
27 891 -745
27 530 -768
27 2021 -831
27 198 661
27 1137 -679
27 932 -771
27 770 -969
27 78 560
27 1055 -819
27 42 -526
27 1243 87
27 97 -960
27 2865 -517
27 536 -805
27 1210 -803
27 378 609
27 999 -515
27 765 -999
27 2466 687
27 92 -69
27 1112 -788
27 3092 -1015
27 480 302
27 1432 -649
27 1015 -900
27 302 -648
27 1315 -559
27 67 -750
27 1508 -808
27 2361 -204
27 641 -518
27 150 990
27 1205 -604
27 1658 -801
27 587 -986
27 1733 -133
27 1048 -690
27 396 -555
27 1701 -744
27 2058 -704
27 3066 781
27 2701 206
27 938 340
27 875 133
27 2661 709
27 435 -239
27 452 -2
27 2107 147
27 21 -928
27 1448 486
28 1694 -769
28 1552 628
28 1130 -815
28 1813 -527
28 997 -666
28 665 -599
28 8 -900
28 365 118
28 3040 -858
28 1288 -59
28 275 884
28 1177 -73
28 1161 -585
28 101 -611
28 406 145
28 2594 -514
28 1003 251
28 1401 -804
28 383 -274
28 2936 -1021
28 2840 -300
28 308 -517
28 524 35
28 1432 -925
28 1332 -987
28 1080 -183
28 982 87
28 1076 -861
28 1111 97
28 1799 -579
28 20 -1010
28 460 -896
28 2464 -800
28 315 -979
28 1553 -624
28 1117 -693
28 807 -573
28 3146 -800
28 2872 -787
29 1567 637
29 2097 -855
29 1048 -662
29 122 -573
29 1344 -501
29 1566 -15
29 2655 -621
29 1117 -583
29 1225 -1016
29 932 -782
29 2016 78
29 337 -366
29 1358 -798
29 666 -527
29 1542 410
29 1498 -519
29 2536 -813
29 570 658
29 159 84
29 1851 978
29 1326 -407
29 504 543
29 656 -43
29 641 -575
29 1035 -902
29 26 -708
29 553 -389
29 2019 -726
29 514 651
29 152 505
29 1004 -901
29 178 -613
29 592 740
29 1221 435
29 85 -535
29 368 -930
29 596 -743
29 2816 -690
29 1372 -741
29 238 -738
29 923 -547
29 477 -41
29 305 -264
29 382 -949
29 651 -682
29 1345 947
29 295 -738
29 450 85
29 903 515
29 170 -958
29 1491 -892
29 1998 -870
29 3086 -954
29 3075 -918
29 383 -645
29 1062 -974
29 197 -553
29 84 -923
29 2140 -816
29 3133 -715
29 1664 -673
29 1047 -878
29 426 186
29 70 -787
29 1357 -706
29 1133 -902
29 2585 -742
29 654 316
29 1871 -696
29 1422 -998
29 118 -708
29 219 -536
29 1404 507
29 486 -662
29 1128 -972
29 1419 376
29 1222 -165
29 1138 -1009
29 367 -234
29 1153 -837
29 1113 -797
29 2391 -390
29 1451 571
29 950 -711
29 1679 137
29 165 -566
29 2251 -917
29 758 -831
29 962 -621
29 1020 443
29 2031 -738
29 4 -611
29 166 895
29 1563 -677
29 1045 454
29 1894 345
29 836 -586
29 691 1008
29 61 -945
29 1398 -756
29 1108 -936
29 1300 -765
29 1551 540
29 1303 -923
29 1278 -602
29 412 -64
29 1772 -846
29 1024 -553
29 357 -794
29 1183 -1016
29 2062 -894
29 1199 -756
29 1018 372
29 2131 -930
29 908 -39
29 1554 -556
29 1039 -563
29 550 -588
30 1438 573
30 1889 884
30 926 -64
30 1144 155
30 348 -84
30 1555 268
30 680 -656
30 18 -138
30 66 293
30 936 -633
30 1388 230
30 970 -642
30 1471 115
30 546 519
30 1448 -898
30 985 128
30 1385 -774
30 338 -380
30 463 375
30 1359 -631
30 2707 -598
30 663 520
30 995 -63
30 945 -998
30 451 641
30 2199 -941
30 213 -215
30 2614 -649
30 2182 -747
30 1310 -517
30 2080 -24
30 233 -474
30 1509 -749
30 2408 -764
30 1950 369
30 195 -701
30 198 -863
30 1510 -929
30 2661 -608
30 821 679
30 1937 -104
30 263 -505
30 421 -582
30 662 -955
30 2677 -650
30 166 -713
30 2695 -811
30 831 -1018
30 1357 -344
30 1239 1023
30 40 642
30 1229 -993
30 2232 752
30 615 -719
30 494 -17
30 998 -967
30 1554 706
30 317 -283
30 1182 -790
30 167 -831
30 2808 -514
30 1114 -867
30 1486 534
30 51 -500
30 575 -955
30 64 -915
30 72 -628
30 556 -799
30 1713 -82
30 1311 -905
30 1804 -992
30 1275 -651
30 1573 -713
30 424 647
30 1583 -868
30 1020 893
30 370 -536
30 1165 -827
30 1883 489
30 2273 -615
30 298 -972
30 1092 -726
30 2442 -808
30 112 -743
30 581 -612
30 972 -816
30 658 -796
30 1228 -574
30 1852 -778
30 189 -881
30 333 -714
30 2766 -549
30 1470 901
30 1640 -560
30 415 787
30 830 -887
30 1282 -386
30 532 -901
30 349 477
30 1032 -706
30 454 -922
30 1170 -802
30 963 -50
30 719 -515
30 55 8
30 71 -850
30 1934 691
30 209 -910
30 1246 -31
30 1534 -585
30 1480 -906
30 527 928
30 1560 270
30 486 69
30 2666 989
30 253 766
30 2147 -90
30 1148 1006
30 852 -898
30 1390 603
30 1339 -892
30 879 587
30 2933 -910
30 1293 320
30 2790 70
30 313 93
30 2788 900
30 2334 499
30 543 -234
30 552 -974
30 3079 -1001
30 509 -972
30 44 -564
30 131 -950
30 892 -351
30 649 1003
30 2787 -338
30 1127 797
30 158 -320
30 675 -14
30 1184 -395
30 1075 -743
30 2735 -696
30 1068 -784
30 2005 -727
30 1405 -616
30 455 519
30 862 -733
30 1553 -93
30 1529 -645
30 1458 -711
30 914 887
30 840 -697
30 628 992
30 1439 431
30 685 552
30 925 881
30 594 -570
30 2415 -709
30 859 192
30 1489 -696
30 3085 547
30 1441 -966
30 1759 229
30 479 -527
30 1842 -755
30 450 -634
30 203 615
30 2329 734
30 3021 -429
30 2372 -606
30 2183 -573
30 3035 -795
30 969 357
30 3057 -1020
31 1167 -556
31 217 -693
31 2701 -966
31 1139 603
31 544 -1017
31 2631 -626
31 464 857
31 549 -804
31 1317 -912
31 1897 -866
31 2414 585
31 499 -697
31 480 -592
31 1582 -551
31 922 116
31 2507 -816
